id	source	extId	pmcid	Title	Abstract	Introduction	Methods	Results	Discussion	Conclusion	Article	Figure	Table	Supplementary material	Author Contributions	?No description
MED:25566226	MED	25566226	PMC4270193		Rhabdoviridae, Coronaviridae	Human, animals, bacteriophages, Coronaviridae	white-beaked dolphin, Lagenorhynchus albirostris, DRV, Perhabdovirus, Vesiculovirus, fish, red fox, Vulpes vulpes, Indian python, Python molurus, Coronaviridae, Nidovirales, Torovirinae, Python, birds, Aves, carnivores, Carnivora, primates, rodents, Rodentia, Ruminantia, Rhabdoviridae	red fox, tiger, Dolphin rhabdovirus, DRV, Eukaryota, Bacteria, Archea, Rhabdoviridae, Coronaviridae, Python nidovirus, Berne virus, Torovirinae, Vesiculovirus, Coronavirus, Medicago truncatula, Vulpes vulpes, Clostridium thermocellum	DRV, human, bacteriophage, chimeras, Moya, Reoviridae, Colorado tick fever virus					Dolphin rhabdovirus, DRV, red fox	Anita	
MED:25080342	MED	25080342	PMC4132678	snakes	Hepadnaviridae, Bornaviridae, Circoviridae, speckled rattlesnake, Crotalus mitchellii, king cobra, snakes, reptiles, mammals											metazoans, plants, birds, Hepadnaviridae, fishes, Xenopus tropicalis, reptiles, Carolina anole, Anolis carolinensis, snakes, Crotalus, Sistrurus, Viperidae, speckled rattlesnake, Crotalus mitchellii, Bornaviridae, Circoviridae, pitvipers, Burmese python, king cobra, C. mitchellii, vertebrates, Ophiophagus hannah, Python molurus bivittatus, HBV, Crotalus atrox, Agkistrodon, porcine circovirus 1, zebrafinch, Taeniopygia guttata, budgerigar, Melopsittacus undulatus, parrot, B virus, orangutan, Crotalus tigris, Rhinolophus ferrumequinum, bats, mammals, gaboon viper, human, retrovirus, green sea turtle, R. ferrumequinum
MED:25993603	MED	25993603	PMC4438980	Arenavirus	human, mammals, snakes, animals, flu vaccine, HIV, humans, rodents	influenza virus, humans, human, poliovirus, Viruses, Arenaviridae, rodents, snakes, mammals, Boidae, Pythonidae	snakes, Boa arenavirus NL, animals	snakes, animals, Boa, Golden Gate virus, Viruses	snakes, animals, humans, birds, papillomavirus, human, plants, rodents, Influenza A virus, Boa constrictors, influenza virus					snakes, animals		
MED:30746341	MED	30746341	PMC6360175	Human	human, ticks, Ixodes holocyclus, Ornithodoros capensis, Ornithodoros gurneyi, humans, Amblyomma triguttatum, Bothriocroton hydrosauri, Haemaphysalis, Ixodes cornuatus, Ixodes tasmani, Coxiella burnetii, Rickettsia australis, Rickettsia honei, Rickettsia honei subsp. marmionii, Argas robertsi, Haemaphysalis longicornis, Ixodes hirsti, Rhipicephalus australis, Rhipicephalus sanguineus, Anaplasma, Bartonella, Burkholderia, Francisella, TBEV, Saumarez Reef virus, Upolu virus, birds, animals, Rickettsia conorii, Rickettsia rickettsii	Ticks, humans, animals, Argasidae, Ixodidae, Nuttalliellidae, Stenos, human				ticks, animals, humans, human, A. persicus, H. longicornis, O. megnini, R. australis, R. sanguineus, TBEV, Anaplasma, Borrelia, Burkholderia, Francisella, Rickettsia, A. robertsi, I. hirsti, R. conorii, R. rickettsii, I. holocyclus, O. capensis, O. gurneyi, Tasmania	Favia, Ticks, Argasidae, soft ticks, Ixodidae, hard ticks, Amblyomminae, Haemaphysalinae, Ixodinae, humans, animals, birds, reptiles, mammals, human, Argas persicus, Haemaphysalis longicornis, Otobius megnini, Rhipicephalus australis, Rhipicephalus sanguineus, Ornithodoros capensis, Carios capensis, Ornithodoros gurneyi, kangaroos, O. capensis, O. gurneyi, O. megnini, horses, Amblyomma, Amblyomma triguttatum, Bothriocroton auruginans, dogs, wombats, Bothriocroton hydrosauri, Aponomma hydrosauri, cattle, H. longicornis, Theileria orientalis, T. orientalis, Ixodes cornuatus, Ixodes hirsti, Ixodes holocyclus, Tasmania, I. cornuatus, I. holocyclus, bandicoots, Ixodes tasmani, Ixodes, R. australis, Boophilus microplus, R. sanguineus, Rickettsia, Rickettsia rickettsii, A. triguttatum, B. hydrosauri, Haemaphysalis, I. tasmani, Coxiella, Coxiellaceae, Legionellales, Gammaproteobacteria, Proteobacteria, Coxiella burnetii, gamma subdivision, Legionella, Francisella, C. burnetii, cats, goats, sheep, Haemaphysalis bispinosa, Haemaphysalis humerosa, Rhipicephalus microplus, H. humerosa, H. bispinosa, R. microplus, guinea pigs, Rickettsiaceae, Rickettsiales, Alphaproteobacteria, vertebrates, Rickettsia australis, Rickettsia honei, Rickettsia gravesii, H. novaeguineae, R. honei, R. gravesii, Amblyomma limbatum, Rickettsia sp., Stenos, Anaplasma phagocytophilum, Ehrlichia, Dermacentor, Rhipicephalus, A. phagocytophilum, Ehrlichiaceae, Anaplasma, Bartonella, Bartonellaceae, Rhizobiales, Bartonella bacilliformis, Bartonella henselae, Bartonella quintana, arthropods, fleas, sand flies, Bartonella clarridgeiae, cat fleas, Bartonella australis, Bartonella coopersplainsensis, Bartonella queenslandensis, Bartonella rattaustraliani, Bartonella antechini, eastern gray kangaroos, Macropus giganteus, Uromys, Melomys, Rattus, yellow-footed antechinus, Antechinus flavipes, Gundi, Ixodes antechini, koalas, Phascolarctos cinereus, rodents, woylies, Bettongia penicillata, Borrelia, Spirochaetaceae, Spirochaetales, spirochete, Borrelia burgdorferi sensu lato, B. burgdorferi, Borrelia afzelii, Borrelia garinii, B. burgdorferi sensu lato, mice, spirochaetes, rat, Borrelia theileri, Borrelia anserina, bovine, spirochaete, Burkholderia pseudomallei, Burkholderiaceae, Burkholderiales, Betaproteobacteria, B. pseudomallei, Rhipicephalus bursa, rabbits, Francisella tularensis, Francisellaceae, Thiotrichales, F. tularensis, deer flies, ringtail, Pseudocheirus peregrinus, Francisella hispaniensis, Amblyomma americanum, Dermacentor andersoni, Dermacentor variabilis, I. hirsti, Iflavirus, Saumarez Reef virus, Upolu virus, Argas robertsi, cattle egrets, Bubulcus ibis, Orbivirus, Reoviridae, sooty terns, Onychoprion fuscatus, silver gull, Chroicocephalus, Flavivirus, Flaviviridae, TBEV, Zika virus, West Nile virus, Russian Spring Summer encephalitis virus, man, Iflaviridae, Thogotovirus, Orthomyxoviridae, African green monkey, Babesia, B. divergens, B. duncani, B. microti, Babesiidae, Piroplasmida, Aconoidasida, Apicomplexa, Ixodes scapularis, Maltese Cross, Bothriocroton, paralysis tick	human, ticks, humans, Borrelia, Ixodes	Human, ticks, Argasidae, Argas persicus, Tasmania, Argas robertsi, Great cormorant, Ornithodoros capensis, gulls, penguins, Ornithodoros gurneyi, Kangaroo soft tick, red kangaroos, wallaroos, Otobius megnini, Domestic horses, Ixodidae, Amblyomma triguttatum, Ornate kangaroo tick, Kangaroos, Bothriocroton auruginans, Wombat tick, Dogs, wombats, Bothriocroton hydrosauri, Reptiles, Haemaphysalis, Haemaphysalis longicornis, Bush tick, Cattle, horses, sheep, Mammals, Ixodes cornuatus, paralysis tick, Ixodes hirsti, cats, birds, Ixodes holocyclus, bandicoots, Ixodes tasmani, marsupials, monotremes, rodents, animals, humans, Rhipicephalus australis, cattle tick, Rhipicephalus sanguineus, Brown dog tick, Spotted fever group, Rickettsia australis, rats, Ixodes, Rickettsia honei, Rickettsia honei subsp. marmionii, Rickettsia gravesii, pigs, Borrelia burgdorferi sensu lato, Borrelia, B. afzelii, I. ricinus, I. persulcatus, B. bavariensis, B. bissettii, I. scapularis, I. pacificus, I. minor, B. burgdorferi sensu stricto, B. garinii, I. hexagonus, I. nipponensis, B. kurtenbachii, B. lusitaniae, B. spielmanii, B. valaisiana, I. granulatus			
MED:28017728	MED	28017728	PMC5481500													human, sheep, cattle, honey bee, bees, Hessian fly, potato, platypus, giraffe, Killer whale, fish, tarsier, gibbon, primate, humans, New World monkeys, Old World monkeys, great apes, mosquitos, Neanderthals, Denisovans, Wolbachia, Drosophila ananassae, bedbug, LGTs, Asian Longhorned beetle, Buchnera, cheetah, bovine
MED:30805020	MED	30805020	PMC6373076	dingo	dingo, dog, animals	carnivores, dingo, dog, human, kangaroo, sheep, animals, humans, kangaroos, Tasmanian tiger, Canis, Canis familiaris, Canis lupus dingo, Canis familiaris dingo			dingo, humans, dogs, dog, animals, elephants, human, Carnivora, Grey Wolf, pig, chickens, tiger, lion, Tasmania, Thylacine, ginger, Canis lupus dingo, Canis lupus, mammals, mice, carnivores, rodents, red deer, primates, mink, Canidae, ape, Pugs, CNV, horses, Equus ferus przewalskii, domestic horses, red fox	dingo, dog, dogs, animals	man, ginger, sable, dingo, dog					
MED:26610021	MED	26610021	PMC4944395		Ticks, human											ticks, humans, Borrelia burgdorferi, B. miyamotoi, Anaplasma phagocytophilum, R. conorii, R. helvetica, Francisella tularensis, Coxiella burnetii, I. ricinus, Babesia, B. divergens, Babesia microti, human, TBEV, CCHFV, Hyalomma, Powassan virus, Flavivirus, Louping ill virus, sheep, animals, hard ticks, spirochaetes, A. phagocytophilum, Babesia sp., Bartonella sp., N. mikurensis, Borrelia, Ixodes, B. afzelii, R. monacensis, Anaplasma, Coxiella, Francisella, Rickettsia, vertebrates, I. scapularis, arthropods, C. burnetii, F. tularensis, Dermacentor, Wolbachia, Arsenophonus, insects, Ixodiphagus hookeri, Midichloria mitochondrii, alphaproteobacteria, Bunyaviridae, Nairovirus, Phlebovirus, Rhabdoviridae, Vesiculovirus, Reoviridae, Coltivirus, tick-borne virus, R. rickettsii, R. peacockii, Amblyomma, Ehrlichia chaffeensis, Proteobacteria, Firmicutes, Bacteroides, B. burgdorferi, spirochete, R. microplus, Rhipicephalus microplus, Borrelia burgdorferi sensu lato, cattle, dog, horse, Borrelia miyamotoi, goat, Babesia divergens, Deer, Babesia capreoli, rodents, Bartonella henselae, Bartonella, Tick-borne encephalitis Virus, Neoehrlichia mikurensis, dogs, Rickettsia helvetica, Rickettsia monacensis, Mountain hare, Anaplasma ovis, Babesia caballi, Theileria, Babesia equi, Babesia canis, Rickettsia slovaca, Rickettsia raoultii, Anaplasma marginale, Bovine, Muskrat, Haemaphysalis, Theileria annulata, Theileria equi, Crimean-Congo hemorrhagic fever virus, Rhipicephalus sanguineus, Rickettsia conorii, Ehrlichia canis, Anaplasma platys, Babesia vogeli, Hepatozoon canis, Babesia gibsoni, Viruses, South Bay virus, Ixodes scapularis, Blacklegged tick, American dog tick Phlebovirus, D. variabilis, Amblyomma americanum, Rhipicephalus
MED:21138572	MED	21138572	PMC3014983		reptiles, western terrestrial garter snake, Thamnophis elegans	birds, reptiles, turtles, crocodilians, tuatara, lizards, snakes, Anolis, painted turtle, western terrestrial garter snake, Thamnophis elegans, Nevada	western terrestrial garter snake, Thamnophis elegans, snakes, Nevada, animals, chicken, Anolis, Chordata, T. elegans, vertebrates	snakes, T. elegans, Nevada, Anolis, Anolis carolinensis, chicken, Gallus gallus, vertebrates, Anolis_carolinensis, chordates, tetrapods, reptiles, Sauropsida, mammals, Mammalia, chimeras, squamates, lizards, Conolophus subcristatus, human, mice, humans, birds		reptiles, snakes				animals, Anolis, chicken	animals	
MED:26026159	MED	26026159	PMC4719071							Acacia, Fiona, eukaryotes, Man, Quince	human, P. falciparum, E. coli, R. sphaeroides, Plasmodium falciparum, Deinococcus maricopensis, Sulfolobus tokodaii, Samba, phage M13, Escherichia coli, Fiona, Zeta, Acacia, Quince					
MED:29118316	MED	29118316	PMC5678084	Campylobacter fetus, human	Campylobacter fetus, cattle, sheep, human, C. fetus, humans, bovine	Campylobacter fetus, C. fetus, reptiles, mammals, human, bovine, humans, cattle	C. fetus, bovine, human	C. fetus, bovines, humans, monkey, C. jejuni, human, bovine, cattle, Campylobacter, Helicobacter, Helicobacter pylori, animals, pigs, Escherichia coli, C. coli, E. coli	C. fetus, humans, cattle, bovine, human							
MED:24348224	MED	24348224	PMC3861042								human		Python, eland			
MED:22893382	MED	22893382	PMC3419519	Boa Constrictors, Boas	snakes, New World arenaviruses, mammals, animals, human, humans	snakes, Animals, retrovirus, Boidae, Pythonidae, Pythons, human, humans, HIV-1, coronavirus, West Nile virus	rabbits, bovine, donkey, rabbit	Corallus annulatus, Boa constrictor, snakes, animals, Emerald tree boa, Ball python, CVV, Python, Blacktail rattlesnake, Arenavirus, retrovirus, Arenaviridae, Golden Gate virus, filovirus, LCMV, Lassa virus, Tacaribe virus, New World arenaviruses, Sudan Ebola virus, African green monkey, rabbits	snakes, animals, reptiles, mammals, Rodents, humans, LCMV, Mus musculus, Reptilia, filovirus, retrovirus, mice, rats, marmosets and tamarins, New World arenaviruses					Golden Gate virus, CVV		
MED:26473983	MED	26473983	PMC4834066			adenovirus 1, human, Clostridium difficile NAP08, Escherichia coli, prokaryotes, eukaryotes, E. coli, Snake adenovirus 1, vertebrates, adenovirus, Adenoviridae, Mastadenovirus, mammals, humans, Aviadenovirus, birds, Atadenovirus, Siadenovirus, Ichtadenovirus, fish, corn, Elaphe guttata, Human Adenovirus 5, bacteriophages P2, avian reovirus, Human Adenovirus 37, bacteriophages, Lizard Adenovirus 2, Bovine Adenovirus 4, Ovine Adenovirus D, plants, Rhizobium, Pseudomonas, bovine, Archaeoglobus fulgidus, A. fulgidus, Pseudomonas aeruginosa, Methanofollis liminatans, Burkholderia xenovorans, Monotremes, platypus, Staphylococcus aureus, Enterococcus faecalis, Streptococcus pneumoniae, Vibrio cholera, Clostridium difficile, Clostridia, C. difficile, Vibrio cholerae, Salmonella typhi										
MED:25923709	MED	25923709	PMC4414512		pig, horse, cattle, sheep, rabbit, chicken, turkey, goose, human, rat, duck	mammals, birds	Rat, animals, Human, mammals, birds, pig, Sus scrofa domesticus, horse, Equus caballus, cattle, Bos taurus, sheep, Ovis aries, rabbit, Oryctolagus cuniculus, chicken, Gallus gallus domesticus, turkey, Meleagris gallopavo, Phasianus colchicus, duck, Anas platyrhynchos, goose, Anser anser, Columba livia, Homo sapiens, Rattus rattus, reptiles, fishes, Python	mammals, birds, human, rat, sheep, rabbit, horse, turkey, cattle, pig	mammals, fish, human, rat, animals, pig, horse		MCG					
MED:26200348	MED	26200348	PMC4511736	Turtles	turtles	fish, amphibians, squamates, eastern hellbenders, Cryptobranchus alleganiensis, long-finned pilot whale, Globicephala melas, European eel, Anguilla anguilla, Carp, Burmese pythons, turtles, vertebrates, reptiles, European Pond Turtle, Emys orbicularis, green sea turtle, Chelonia mydas	man, red-eared sliders, Trachemys scripta, Emydoidea blandingii, Spotted Turtle, Clemmys guttata, Wood Turtle, Glyptemys insculpta, Painted Turtle, Chrysemys picta, Map Turtle, Graptemys geographica, Sternotherus odoratus, Snapping Turtle, Chelydra serpentina, Spiny Softshell, Apalone spinifera, Red-eared Slider, Fish, animals, turtles, bovine, sardines	G. insculpta, Fish, Glyptemys insculpta, Chrysemys picta, Sternotherus odoratus, Sternotherus carinatus, T. scripta, Clemmys guttata, C. guttata, Emydoidea blandingii, Graptemys geographica, Chelydra serpentina, Apalone spinifera	turtles, T. scripta, A. spinifera, softshell, Dermatemys mawii, C. guttata, E. blandingii, red-eared slider, Trachemys scripta, amphibians, Burmese Pythons, carp, Bullfrog							
MED:26395646	MED	26395646	PMC4585814		E. coli		E. coli, cows, dogs, pigs, humans, Gram-positive bacteria, pig, dog, ape, cow	E. coli, cow, dog, pig, human, Salmonella, Acinetobacter, ticks			Bacteria, Helicobacter pylori, E. coli, Yersinia pestis, blacklegged tick, Ixodes scapularis	cow, dog, pig, E. coli	Cow, Dog, Pig			
MED:27966833	MED	27966833	PMC5657000	Borrelia burgdorferi Sensu Stricto	spirochaete, Borrelia burgdorferi, ticks, rodents, black-legged tick, Ixodes scapularis, white-footed mouse, Peromyscus leucopus, house mouse, Mus musculus, marsh rice rat, Oryzomys palustris, marsh rabbit, Sylvilagus palustris, eastern cottontail, Sylvilagus floridanus, six-lined racerunner, Cnemidophorus sexlineatus, B. burgdorferi, spirochaetes, I. scapularis, P. leucopus, O. palustris, S. floridanus, B. burgdorferi sensu stricto											Borrelia burgdorferi sensu stricto, spirochaete, Ixodes scapularis, White-tailed deer, Odocoileus virginianus, I. scapularis, ticks, mice, rodents, reptiles, birds, mammals, rice, rats, human, B. burgdorferi, B. burgdorferi sensu stricto, B. burgdorferi sensu lato, spirochaetes, Corolla, Myrica pensylvanica, Quercus virginiana, wax myrtle, Morella cerifera, loblolly pine, Pinus taeda, Juniperus virginiana, Uniola paniculata, Carya, J. virginiana, Amphicarpaea bracteata, Solidago canadensis, Asclepias, Panicum amarum, Helianthemum canadense, M. cerifera, Baccharis halimifolia, lanceleaf greenbrier, Smilax smallii, Pea, deer, rabbit, cotton, peanut, oats, Rabbits, Lizards, animals, rat, Borrelia burgdorferi, Pollack, Borrelia, mouse, B. andersonii, B. bissettii, Ixodes, O. palustris, P. leucopus, Sylvilagus floridanus, S. palustris, six-lined racerunners, Cnemidophorus sexlineatus, C. sexlineatus, Eumeces inexpectatus, Mus musculus, white-footed mouse, Borrelia sp., dogs, I. affinis, S. floridanus, I. minor, Carolina Wren, Thryothorus ludovicianus, cotton mouse, P. gossypinus, hispid cotton rat, humans, Rhode, P. leucopus buxtoni, vertebrates, opossums, chipmunks, six-lined racerunner, Borrelia burdorferi, House mouse, Oryzomys palustris, Peromyscus leucopus, Eastern cottontail, Marsh rabbit, Sylvilagus palustris
MED:30324905	MED	30324905	PMC6191289	beetles	Fireflies, beetles, Photinus pyralis, click beetles, Aquatica, insects, flies, humans	Fireflies, Coleoptera, Lampyridae, Photinus, click beetles, Elateridae, railroad worms, Phengodidae, Rhagophthalmidae, Elateroidea, Photinus pyralis, P. pyralis, Tribolium castaneum, Drosophila melanogaster, A. lateralis, Aquatica, Lampyrinae, Luciolinae, Pyrophorus	A. lateralis, P. pyralis, A. antennatus, Entomoplasma luminosum, Photinus pyralis	Photinus pyralis, Aquatica, P. pyralis, A. lateralis, Tribolium castaneum, Endopterygota, insects, Tribolium, T. castaneum, beetles, eukaryotes, Coleoptera, fireflies, Lampyrinae, Luciolinae, click beetles, Elateridae, Mesquite, Agrypninae, Rhagophthalmidae, Phengodidae, Lampyridae, Drosophila, North American firefly, Photinus, Lucidota, Ellychnia, D. melanogaster, Apocephalus, A. antennatus, Tenericutes, Entomoplasma luminosum, Entomoplasma, North American fireflies, Orthomyxoviridae	beetles, fireflies, click beetles, Phengodidae, Rhagophthalmidae, Cantharidae, Lycidae, Elateroidea, Pyrocoelia pectoralis, Lampyrinae, P. pyralis, A. lateralis, arthropods, millipedes		P. pyralis, A. lateralis, beetles, fireflies, Lampyrinae, Elateridae, Lampyridae, Drosophila melanogaster, D. melanogaster, Pyrocoelia pectoralis, Tribolium castaneum, Mesquite, T. castaneum, Luciolinae, Tenericutes, click beetles, Tribolium, Drosophila, chimeras, Rhagophthalmidae, Phengodidae, Cantharidae, Agrypnus binodulus, Photinus pyralis, parasitic flies, Aequorea victoria, Human			P. pyralis, mouse, Enchytraeus albidus, earthworms, arthropods, Photinus pyralis, Photinus, Fish, Bear, A. lateralis, Pyrophorus, Aquatica, Drosophila melanogaster, Tribolium castaneum, North American firefly, Japanese firefly, Nicrophorus vespilloides, Agrilus planipennis, Emerald Ash Borer, D. melanogaster, T. castaneum, Apis mellifera, Bombyx mori, Caenorhabditis elegans, Anopheles gambiae, N. vespilloides, fireflies, click-beetles, Pyrophorus plagiophthalamus, Lampyridae, Rhagophthalmidae, Phengodidae, Elateridae, Coleoptera, Armadillo, A. antennatus, Orthomyxoviridae, OMV, Quaranjavirus, Thogotovirus, Influenzavirus A, Influenza A virus, Tjuloc virus, Baculovirus, influenzavirus		
MED:21900163	MED	21900163	PMC3209269	pigs	Swine, humans, pigs, Picornaviridae, Astroviridae, Coronaviridae, Caliciviridae, Circoviridae, enteroviruses, Picornavirales, pig, nematodes, animals, Parvoviridae											human, Swine, Nipah virus, H1N1, influenza virus, rotaviruses, pigs, animals, humans, plants, Viruses, pig, Coronavirus, Circovirus, bocavirus, Sapelovirus, Kobuvirus, Enterovirus, Sapovirus, eukaryote, picornavirus, nematode, Ascaris suum, PBoV3, po-circo-like virus 21, po-circo-like virus 22, po-circo-like virus 41, po-circo-like virus 51, eukaryotes, Picornaviridae, Astroviridae, Coronaviridae, Caliciviridae, Circoviridae, Parvoviridae, enteroviruses, minks, porcine astrovirus, Mamastrovirus, deer, mink astrovirus, parvoviruses, bovine, chimpanzee, BPV1, PBoV1, Porcine circovirus, Entamoeba histolytica, Entamoeba dispar, Entamoeba, Picornavirales, roundworm, A. suum, Dicistroviridae, arthropods, vertebrates, nematodes, Caenorhabditis elegans, C. elegans, insects, Ecdysozoa, Deuterostomia, horses, bats, turkeys, California sea lions, mammals, cows, dogs, birds, dragonflies, Geminiviridae, Nanoviridae, Giardia duodenalis, E. histolytica, E. polecki, E. suis, E. dispar, rhinovirus
MED:27441386	MED	27441386	PMC4993586		Schmidtea mediterranea, Bacteroidetes, Proteobacteria, animals, Pseudomonas, humans, Flatworms, human	Platyhelminthes, humans, flies, nematodes, human, Proteobacteria, Pseudomonas	Schmidtea mediterranea, Animals, cylinders, Pseudomonas, Pseudomonas fluorescens, donkey, goat, Torula Yeast, Yeast, Horse, rabbit	S. mediterranea, Bacteroidetes, Proteobacteria, Vogesella, Chryseobacterium, Pseudomonas, Amoebophilus, zebrafish, flies, mammals, Segetibacter, Chitinophaga, Oxalobacter, Rhodoferax, Pedobacter, Delftia, Arthrospira, Elizabethkingia, Enterobacter, animals, Acidovorax, Phyla, Firmicutes, Lactococcus, Plesiomonas, Giesbergeria, Human, Aminobacter, Hafnia, Hafnia paralvei, Obesumbacterium proteus, Hafnia alvei, Ewingella americana, Serratia liquefaciens, Serratia grimesii, Pseudomonas peli, Pseudomonas guineae, Pseudomonas anguilliseptica, Pseudomonas cuatrocienegasensis, Pseudomonas pseudoalcaligenes, Pseudomonas indoloxydans, Pseudomonas alcaligenes, Pseudomonas composti, Vogesella mureinivorans, Vogesella perlucida, Vogesella lacus, Vogesella fluminis, Vogesella indigofera, Vogesella alkaliphila, Gulbenkiania mobilis, Gulbenkiania indica, Carbophilus carboxidus, Aminobacter aminovorans, Aminobacter lissarensis, Aminobacter niigataensis, Aminobacter aganoensis, Aminobacter anthyllidis, Aminobacter ciceronei, Mesorhizobium australicum, Mesorhizobium qingshengii, Mesorhizobium shangrilense, Pseudogulbenkiania gefcensis, Aquaphilus dolomiae, Chryseobacterium lactis, Chryseobacterium viscerum, Chryseobacterium tructae, Chryseobacterium oncorhynchi, Chryseobacterium ureilyticum, Chryseobacterium indologenes, Chryseobacterium gleum, Pseudomonas fluorescens Pf0-1, Pseudomonas koreensis, Pseudomonas reinekei, Pseudomonas moraviensis, Pseudomonas vancouverensis, Pseudomonas helmanticensis, Pseudomonas baetica, Pseudomonas jessenii, Pseudomonas umsongensis, Pseudomonas mucidolens, D. melanogaster, vertebrates, Drosophila melanogaster, Homo sapiens, H. sapiens, Schmidtea mediterranea, humans, E.coli, E. coli	Bacteroidetes, Proteobacteria, animals, Pseudomonas, S. mediterranea, human, C. elegans, D. melanogaster, D. rerio, mammals, E. coli, Drosophila, nematodes, flies, plants		Bacteroidetes, Proteobacteria, Pseudomonas, Drosophila, mouse, Homo sapiens, S. mediterranea					
